rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected,slider_start
770,imagesDupe/object2.jpg,0,image-button-response,96,2.0.0,151875,"[""37"",""63"",""24""]",,,,
1238,imagesDupe/object4.jpg,0,image-button-response,97,2.0.0,153116,"[""37"",""63"",""24""]",production,"[""buv"",""cal""]",buv,
722,imagesDupe/object4.jpg,0,image-button-response,98,2.0.0,153845,"[""37"",""63"",""24""]",,,,
1455,imagesDupe/object1.jpg,1,image-button-response,99,2.0.0,155311,"[""37"",""63"",""24""]",production,"[""pax"",""fep""]",fep,
794,imagesDupe/object1.jpg,0,image-button-response,100,2.0.0,156112,"[""37"",""63"",""24""]",,,,
1314,imagesDupe/object2.jpg,0,image-button-response,101,2.0.0,157433,"[""37"",""63"",""24""]",production,"[""qar"",""tas""]",qar,
975,imagesDupe/object2.jpg,0,image-button-response,102,2.0.0,158415,"[""37"",""63"",""24""]",,,,
1248,imagesDupe/object4.jpg,0,image-button-response,103,2.0.0,159667,"[""37"",""63"",""24""]",production,"[""buv"",""cal""]",buv,
836,imagesDupe/object4.jpg,0,image-button-response,104,2.0.0,160510,"[""37"",""63"",""24""]",,,,
1822,imagesDupe/object4.jpg,0,image-button-response,105,2.0.0,162336,"[""37"",""63"",""24""]",production,"[""buv"",""cal""]",buv,
809,imagesDupe/object4.jpg,0,image-button-response,106,2.0.0,163155,"[""37"",""63"",""24""]",,,,
7538,imagesDupe/object1.jpg,1,image-button-response,107,2.0.0,170697,"[""37"",""63"",""24""]",production,"[""fep"",""pax""]",pax,
819,imagesDupe/object1.jpg,0,image-button-response,108,2.0.0,171522,"[""37"",""63"",""24""]",,,,
1873,imagesDupe/object4.jpg,1,image-button-response,109,2.0.0,173401,"[""37"",""63"",""24""]",production,"[""buv"",""cal""]",cal,
821,imagesDupe/object4.jpg,0,image-button-response,110,2.0.0,174229,"[""37"",""63"",""24""]",,,,
1763,imagesDupe/object2.jpg,0,image-button-response,111,2.0.0,175995,"[""37"",""63"",""24""]",production,"[""qar"",""tas""]",qar,
696,imagesDupe/object2.jpg,0,image-button-response,112,2.0.0,176697,"[""37"",""63"",""24""]",,,,
1313,imagesDupe/object1.jpg,1,image-button-response,113,2.0.0,178014,"[""37"",""63"",""24""]",production,"[""fep"",""pax""]",pax,
1376,imagesDupe/object1.jpg,0,image-button-response,114,2.0.0,179399,"[""37"",""63"",""24""]",,,,
1221,imagesDupe/object4.jpg,1,image-button-response,115,2.0.0,180625,"[""37"",""63"",""24""]",production,"[""cal"",""buv""]",buv,
745,imagesDupe/object4.jpg,0,image-button-response,116,2.0.0,181377,"[""37"",""63"",""24""]",,,,
1514,imagesDupe/object2.jpg,0,image-button-response,117,2.0.0,182895,"[""37"",""63"",""24""]",production,"[""qar"",""tas""]",qar,
804,imagesDupe/object2.jpg,0,image-button-response,118,2.0.0,183704,"[""37"",""63"",""24""]",,,,
3049,imagesDupe/object4.jpg,1,image-button-response,119,2.0.0,186758,"[""37"",""63"",""24""]",production,"[""buv"",""cal""]",cal,
1429,imagesDupe/object4.jpg,0,image-button-response,120,2.0.0,188192,"[""37"",""63"",""24""]",,,,
1287,imagesDupe/object1.jpg,0,image-button-response,121,2.0.0,189483,"[""37"",""63"",""24""]",production,"[""pax"",""fep""]",pax,
762,imagesDupe/object1.jpg,0,image-button-response,122,2.0.0,190251,"[""37"",""63"",""24""]",,,,
10575,"<h3>Perception Instructions</h3> <p>You will be shown the same objects again. <em> Please read the instructions carefully. </em> During the Observation Phase, you saw different object labels. Please estimate how often you saw each label compared to the others by adjusting the slider. Move the slider to reflect the ratio of words you observed for each object in the Observation Phase.</p>",0,html-button-response,123,2.0.0,200830,"[""37"",""63"",""24""]",,,,
4456,imagesDupe/object6.jpg,50,image-slider-response,124,null,205310,"[""37"",""63"",""24""]",,,,50
,,,html-keyboard-response,125,null,218174,"[""37"",""63"",""24""]",,,,
2411,<h3>Finished!</h3> <p style='text-align:left'> Thanks for taking part in our expeirment!</p> <p style='text-align:left'>Click Continue to finish the experiment and see your raw data. Please notify a team member when the raw data is shown on screen.</p>,0,html-button-response,126,2.0.0,220589,"[""37"",""63"",""24""]",,,,
